indicator,region,year,gender,primary value,absolute value
683,209,2015,total,9.7,87
683,20,2015,total,7.2,8914
683,37,2015,total,12.3,551
683,834,2015,total,9.9,37892
683,115,2015,total,9.5,211
683,84,2015,total,13.9,614
683,52,2015,total,10.4,650
683,318,2015,total,13.0,291
683,586,2015,total,10.7,1291
683,616,2015,total,10.4,20276
683,271,2015,total,7.6,373
683,288,2015,total,8.8,818
683,301,2015,total,17.7,362
683,5,2015,total,13.0,900
683,179,2015,total,10.1,489
683,224,2015,total,11.2,239
683,413,2015,total,9.4,9596
683,336,2015,total,9.9,629
683,568,2015,total,12.1,8426
683,978,2015,total,9.6,24631
683,274,2015,total,10.6,144
683,259,2015,total,11.7,672
683,539,2015,total,10.5,5383
683,351,2015,total,10.7,1201
683,837,2015,total,10.7,25722
683,55,2015,total,9.8,2437
683,554,2015,total,13.3,1274
683,492,2015,total,10.7,28096
683,19,2015,total,11.8,141
683,70,2015,total,11.8,334
683,427,2015,total,16.1,710
683,583,2015,total,12.8,1026
683,69,2015,total,11.4,161
683,504,2015,total,11.6,5260
683,191,2015,total,9.5,173
683,619,2015,total,10.9,7320
683,957,2015,total,9.9,7682
683,144,2015,total,12.6,231
683,495,2015,total,9.9,7682
683,728,2015,total,4.9,791
683,221,2015,total,9.4,469
683,572,2015,total,12.8,1607
683,448,2015,total,11.1,1790
683,242,2015,total,8.7,986
683,525,2015,total,10.6,5619
683,698,2015,total,13.1,2105
683,133,2015,total,8.4,1646
683,347,2015,total,11.5,3407
683,602,2015,total,10.3,13261
683,210,2015,total,5.2,13
683,238,2015,total,10.2,119
683,394,2015,total,12.2,316
683,368,2015,total,11.7,684
683,339,2015,total,9.8,3091
683,551,2015,total,10.3,7322
683,961,2015,total,9.1,4900
683,73,2015,total,10.8,1031
683,213,2015,total,8.9,294
683,397,2015,total,10.2,775
683,292,2015,total,10.2,4844
683,501,2015,total,8.5,7725
683,112,2015,total,13.5,1076
683,141,2015,total,11.4,543
683,23,2015,total,13.5,205
683,445,2015,total,8.6,585
683,421,2015,total,11.7,275
683,498,2015,total,11.9,11483
683,528,2015,total,13.9,1389
683,282,2015,total,11.0,1341
683,312,2015,total,11.9,1607
683,357,2015,total,10.5,608
683,136,2015,total,9.0,317
683,590,2015,total,10.7,3533
683,48,2015,total,11.9,189
683,562,2015,total,11.3,873
683,845,2015,total,8.9,97250
683,63,2015,total,11.9,753
683,620,2015,total,4.9,791
683,45,2015,total,14.0,362
683,183,2015,total,14.5,300
683,200,2015,total,9.1,316
683,231,2015,total,10.5,443
683,610,2015,total,11.9,11483
683,60,2015,total,11.0,1380
683,26,2015,total,5.1,18
683,91,2015,total,9.2,1881
683,12,2015,total,10.7,214
683,609,2015,total,10.9,6942
683,264,2015,total,14.1,316
683,547,2015,total,12.1,3357
683,842,2015,total,10.6,78304
683,139,2015,total,14.2,113
683,173,2015,total,9.7,272
683,375,2015,total,10.6,114
683,589,2015,total,10.9,3588
683,118,2015,total,13.2,747
683,101,2015,total,13.6,136
683,435,2015,total,3.6,10
683,848,2015,total,9.6,45617
683,285,2015,total,13.6,357
683,330,2015,total,12.2,389
683,66,2015,total,9.6,412
683,197,2015,total,12.5,1044
683,972,2015,total,11.9,11483
683,206,2015,total,10.7,504
683,29,2015,total,13.5,491
683,405,2015,total,12.5,267
683,658,2015,total,10.0,290378
683,613,2015,total,12.5,13583
683,30,2015,total,12.3,85
683,261,2015,total,9.3,8011
683,122,2015,total,9.8,1759
683,402,2015,total,9.3,165
683,87,2015,total,13.5,165
683,975,2015,total,9.5,11420
683,387,2015,total,11.3,165
683,797,2015,total,12.9,1952
683,354,2015,total,8.4,284
683,248,2015,total,10.5,1814
683,97,2015,total,9.4,1522
683,956,2015,total,4.9,791
683,252,2015,total,14.1,974
683,284,2015,total,8.4,905
683,541,2015,total,9.6,4809
683,408,2015,total,11.6,1395
683,699,2015,total,4.7,67
683,166,2015,total,10.7,71
683,423,2015,total,13.2,302
683,526,2015,total,9.7,2442
683,346,2015,total,11.8,90
683,558,2015,total,13.2,1617
683,603,2015,total,10.5,10339
683,74,2015,total,10.9,4140
683,794,2015,total,8.9,823
683,384,2015,total,13.8,436
683,564,2015,total,11.7,1565
683,974,2015,total,11.5,16426
683,370,2015,total,11.5,344
683,228,2015,total,10.1,3121
683,305,2015,total,13.9,486
683,24,2015,total,5.6,78
683,111,2015,total,10.1,94
683,369,2015,total,12.3,567
683,962,2015,total,11.6,5260
683,116,2015,total,14.9,241
683,161,2015,total,10.2,6121
683,36,2015,total,9.2,520
683,68,2015,total,8.7,283
683,178,2015,total,9.7,412
683,514,2015,total,9.3,2958
683,266,2015,total,15.0,353
683,587,2015,total,12.6,1987
683,311,2015,total,11.4,544
683,799,2015,total,8.8,2249
683,195,2015,total,13.9,888
683,615,2015,total,10.1,4126
683,403,2015,total,6.3,252
683,576,2015,total,7.8,1987
683,148,2015,total,9.1,118
683,272,2015,total,7.9,55
683,499,2015,total,10.8,15639
683,968,2015,total,10.9,11247
683,44,2015,total,10.4,1353
683,352,2015,total,11.9,243
683,258,2015,total,11.4,89
683,18,2015,total,14.1,144
683,340,2015,total,6.5,67
683,85,2015,total,10.1,6297
683,721,2015,total,12.5,2499
683,296,2015,total,10.5,542
683,234,2015,total,7.6,761
683,323,2015,total,9.5,1473
683,838,2015,total,10.9,11247
683,177,2015,total,9.1,5821
683,117,2015,total,11.5,1446
683,849,2015,total,10.7,40588
683,100,2015,total,12.4,989
683,376,2015,total,10.5,400
683,588,2015,total,11.1,3273
683,160,2015,total,5.4,12
683,316,2015,total,13.0,306
683,389,2015,total,9.5,8593
683,515,2015,total,10.4,1176
683,235,2015,total,9.5,465
683,973,2015,total,10.4,20462
683,967,2015,total,10.9,11119
683,196,2015,total,15.8,81
683,241,2015,total,10.7,586
683,575,2015,total,9.1,1016
683,154,2015,total,8.7,321
683,216,2015,total,8.5,272
683,260,2015,total,15.1,626
683,353,2015,total,7.4,766
683,732,2015,total,11.2,1052
683,614,2015,total,8.5,7404
683,334,2015,total,13.7,236
683,204,2015,total,11.7,1163
683,494,2015,total,10.9,11119
683,552,2015,total,12.6,674
683,521,2015,total,9.2,3611
683,142,2015,total,9.5,2264
683,295,2015,total,12.0,309
683,223,2015,total,13.9,79
683,253,2015,total,9.1,1908
683,452,2015,total,11.6,1334
683,358,2015,total,14.0,394
683,540,2015,total,11.2,5736
683,2,2015,total,11.7,673
683,49,2015,total,9.3,1260
683,844,2015,total,4.9,791
683,62,2015,total,12.4,551
683,92,2015,total,9.1,1581
683,850,2015,total,4.9,791
683,135,2015,total,12.8,945
683,328,2015,total,10.6,385
683,527,2015,total,11.1,2278
683,422,2015,total,10.4,206
683,184,2015,total,9.5,3739
683,290,2015,total,12.7,375
683,901,2015,total,8.9,97250
683,13,2015,total,5.5,18
683,488,2015,total,8.4,67029
683,594,2015,total,9.6,812
683,383,2015,total,12.4,436
683,793,2015,total,8.0,364
683,304,2015,total,13.6,251
683,608,2015,total,12.1,3357
683,265,2015,total,10.3,583
683,25,2015,total,12.2,1285
683,503,2015,total,10.4,20462
683,582,2015,total,12.3,2240
683,570,2015,total,13.4,1756
683,371,2015,total,9.9,444
683,451,2015,total,14.9,570
683,297,2015,total,8.6,101
683,607,2015,total,9.9,7682
683,342,2015,total,9.5,176
683,374,2015,total,10.3,263
683,78,2015,total,11.8,391
683,577,2015,total,11.2,968
683,905,2015,total,10.7,40909
683,327,2015,total,10.8,3282
683,93,2015,total,13.6,294
683,46,2015,total,7.7,22996
683,545,2015,total,10.4,4526
683,359,2015,total,11.0,687
683,404,2015,total,9.4,891
683,969,2015,total,8.1,18256
683,560,2015,total,10.2,8769
683,592,2015,total,13.2,1648
683,840,2015,total,8.4,67029
683,902,2015,total,9.5,46390
683,28,2015,total,12.6,501
683,121,2015,total,9.0,688
683,171,2015,total,12.9,116
683,595,2015,total,9.6,1009
683,43,2015,total,9.6,465
683,310,2015,total,13.4,560
683,798,2015,total,12.1,428
683,156,2015,total,11.0,669
683,233,2015,total,7.3,102
683,247,2015,total,12.3,633
683,283,2015,total,12.7,400
683,559,2015,total,13.2,2018
683,510,2015,total,8.4,60646
683,388,2015,total,9.7,1136
683,531,2015,total,10.0,19569
683,182,2015,total,13.6,808
683,846,2015,total,11.3,53386
683,64,2015,total,13.7,538
683,103,2015,total,13.2,121
683,970,2015,total,10.7,28096
683,150,2015,total,11.6,176
683,32,2015,total,12.3,94
683,611,2015,total,11.5,15965
683,11,2015,total,7.6,200
683,563,2015,total,10.9,1470
683,61,2015,total,8.1,356
683,843,2015,total,11.1,78335
683,153,2015,total,9.4,429
683,356,2015,total,12.7,171
683,280,2015,total,11.8,265
683,174,2015,total,14.3,218
683,795,2015,total,14.5,1012
683,385,2015,total,12.6,232
683,201,2015,total,10.9,731
683,306,2015,total,12.8,107
683,239,2015,total,9.3,996
683,727,2015,total,10.0,288859
683,82,2015,total,13.3,481
683,192,2015,total,4.0,41
683,99,2015,total,10.5,406
683,556,2015,total,11.3,7848
683,348,2015,total,11.0,253
683,35,2015,total,11.9,388
683,303,2015,total,10.5,335
683,363,2015,total,6.9,43
683,601,2015,total,9.7,24934
683,273,2015,total,10.0,263
683,164,2015,total,13.0,1709
683,618,2015,total,10.9,3927
683,382,2015,total,10.9,214
683,338,2015,total,16.3,447
683,444,2015,total,13.3,394
683,291,2015,total,12.3,174
683,489,2015,total,9.6,24631
683,57,2015,total,8.8,530
683,960,2015,total,7.7,22996
683,581,2015,total,11.2,1560
683,490,2015,total,10.3,13261
683,113,2015,total,12.2,1197
683,502,2015,total,10.2,3619
683,127,2015,total,14.3,191
683,430,2015,total,13.9,258
683,839,2015,total,4.9,791
683,854,2015,total,8.5,319
683,38,2015,total,11.7,253
683,604,2015,total,10.7,29263
683,21,2015,total,8.6,615
683,833,2015,total,9.0,107589
683,574,2015,total,8.7,4722
683,317,2015,total,9.3,2081
683,516,2015,total,8.6,1187
683,212,2015,total,6.9,136
683,966,2015,total,9.5,9522
683,257,2015,total,10.2,956
683,300,2015,total,14.9,303
683,321,2015,total,11.7,186
683,414,2015,total,12.4,1667
683,520,2015,total,11.5,2331
683,399,2015,total,15.3,272
683,167,2015,total,10.8,1028
683,75,2015,total,10.1,323
683,143,2015,total,10.7,252
683,294,2015,total,9.4,2538
683,553,2015,total,13.0,3016
683,836,2015,total,10.7,68662
683,54,2015,total,15.2,272
683,110,2015,total,11.7,191
683,519,2015,total,9.9,1870
683,963,2015,total,10.5,10339
683,493,2015,total,9.5,11420
683,269,2015,total,15.3,647
683,314,2015,total,11.8,301
683,237,2015,total,10.0,464
683,119,2015,total,10.5,494
683,361,2015,total,12.9,255
683,65,2015,total,10.4,1805
683,175,2015,total,3.4,6
683,220,2015,total,12.0,145
683,496,2015,total,11.2,9838
683,393,2015,total,10.3,2070
683,33,2015,total,10.4,1343
683,500,2015,total,12.5,13583
683,449,2015,total,8.6,127
683,971,2015,total,8.5,7725
683,378,2015,total,9.9,10417
683,847,2015,total,11.1,52018
683,181,2015,total,10.4,181
683,102,2015,total,12.8,387
683,612,2015,total,10.8,14169
683,550,2015,total,12.3,4140
683,59,2015,total,10.0,479
683,152,2015,total,10.5,5383
683,88,2015,total,10.9,1470
683,243,2015,total,12.2,403
683,293,2015,total,9.0,230
683,417,2015,total,12.6,182
683,320,2015,total,10.9,281
683,432,2015,total,11.4,540
683,959,2015,total,11.2,9838
683,523,2015,total,10.5,8179
683,9,2015,total,9.1,489
683,549,2015,total,11.8,1955
683,202,2015,total,10.6,2821
683,355,2015,total,9.8,527
683,535,2015,total,13.1,2255
683,4,2015,total,10.5,151
