region_name,year,diabetes_rate,median_income,pct_65plus,income_lag1,pct_65plus_lag1,diabetes_change,risk_label,cluster,pca1,pca2
Central Finland wellbeing services county,2023,12.6,25917,24.6,26251.0,24.4,0.1999999999999993,0,1,-0.6744503390975515,-0.4818584049424141
Central Ostrobothnia wellbeing services county,2023,12.5,27214,24.7,27492.0,24.7,0.40000000000000036,0,1,-0.2855228159475919,-0.3044430417922408
Central Uusimaa wellbeing services county,2023,11.4,31020,20.3,31649.0,20.0,0.20000000000000107,0,3,1.7086083768104188,-0.42913266420128654
City of Helsinki,2023,8.6,30761,17.6,31320.0,17.6,0.0,0,3,2.8616610093602297,-0.13158949803191802
East Uusimaa wellbeing services county,2023,10.9,30995,23.5,31331.0,23.2,0.09999999999999964,0,3,1.4509600808744152,0.3204943504043044
Kainuu wellbeing services county,2023,12.9,26069,30.7,26210.0,30.4,0.20000000000000107,1,2,-1.5036213490102959,0.5943959208704795
Kanta-Häme wellbeing services county,2023,13.1,27840,27.1,28080.0,26.9,0.1999999999999993,1,2,-0.6020891631786711,0.03195135499858906
Kymenlaakso wellbeing services county,2023,13.4,26705,30.0,26923.0,29.7,0.20000000000000107,1,2,-1.3904421602474022,0.37691124206863835
Lapland wellbeing services county,2023,13.1,27070,27.3,27297.0,27.1,0.29999999999999893,1,2,-0.8473522483142465,-0.006814249325284482
North Karelia wellbeing services county,2023,14.6,24852,28.8,24957.0,28.4,0.29999999999999893,1,2,-2.1444998437500127,-0.39019898743499193
North Ostrobothnia wellbeing services county,2023,12.2,26856,21.2,27251.0,20.9,0.1999999999999993,0,1,0.15325621895722394,-0.9108471493615364
North Savo wellbeing services county,2023,14.7,26256,27.1,26542.0,26.8,0.29999999999999893,1,2,-1.5585094777104085,-0.6010620205368368
Ostrobothnia wellbeing services county,2023,10.3,27811,23.6,28155.0,23.7,0.20000000000000107,0,1,0.7186355390545596,0.20147464937799953
Pirkanmaa wellbeing services county,2023,12.5,27263,22.3,27611.0,22.4,0.09999999999999964,0,1,0.03455418130598624,-0.7521713404265945
Päijät-Häme wellbeing services county,2023,12.1,26124,28.3,26606.0,28.1,0.5999999999999996,0,2,-0.9296559112961396,0.3851031944876401
Satakunta wellbeing services county,2023,12.2,26734,28.6,27034.0,28.5,0.29999999999999893,0,2,-0.825347571857401,0.4725372018046487
South Karelia wellbeing services county,2023,11.7,26201,29.1,26428.0,28.9,0.1999999999999993,0,2,-0.8836231985243238,0.6625362965724699
South Ostrobothnia wellbeing services county,2023,13.8,26704,27.0,27071.0,26.8,0.20000000000000107,1,2,-1.1341998816469938,-0.30785204914947056
South Savo wellbeing services county,2023,13.8,25903,33.4,25885.0,33.0,0.20000000000000107,1,2,-2.179049385983697,0.819507801787657
Southwest Finland wellbeing services county,2023,11.5,27391,24.1,27790.0,24.1,0.1999999999999993,0,1,0.1567355971318948,-0.10271146167724626
Vantaa and Kerava wellbeing services county,2023,10.7,29560,16.3,30213.0,16.4,0.0,0,3,2.0227376883976516,-1.1203661453365164
West Uusimaa wellbeing services county,2023,9.5,32214,18.4,32745.0,18.4,0.0,0,3,2.8906133258020974,-0.10397164573293598
Åland,2023,6.8,32069,24.2,32534.0,23.8,0.2999999999999998,0,0,2.960601328870259,1.778106645576845
