region_name,year,diabetes_rate,median_income,pct_65plus,income_lag1,pct_65plus_lag1,diabetes_change,risk_label
Central Finland wellbeing services county,2005,6.3,23240,16.6,,,,1
Central Finland wellbeing services county,2006,6.5,23703,17.1,23240.0,16.6,0.20000000000000018,1
Central Finland wellbeing services county,2007,6.8,24507,17.2,23703.0,17.1,0.2999999999999998,1
Central Finland wellbeing services county,2008,7.2,24865,17.4,24507.0,17.2,0.40000000000000036,1
Central Finland wellbeing services county,2009,7.8,25477,17.6,24865.0,17.4,0.5999999999999996,1
Central Finland wellbeing services county,2010,8.3,25854,18.0,25477.0,17.6,0.5000000000000009,1
Central Finland wellbeing services county,2011,9.2,25838,18.6,25854.0,18.0,0.8999999999999986,1
Central Finland wellbeing services county,2012,9.7,25838,19.3,25838.0,18.6,0.5,1
Central Finland wellbeing services county,2013,10.1,25717,20.0,25838.0,19.3,0.40000000000000036,1
Central Finland wellbeing services county,2014,10.4,25771,20.6,25717.0,20.0,0.3000000000000007,1
Central Finland wellbeing services county,2015,10.8,25954,21.2,25771.0,20.6,0.40000000000000036,1
Central Finland wellbeing services county,2016,11.1,26259,21.6,25954.0,21.2,0.29999999999999893,1
Central Finland wellbeing services county,2017,11.4,26455,22.2,26259.0,21.6,0.3000000000000007,1
Central Finland wellbeing services county,2018,11.6,26655,22.6,26455.0,22.2,0.1999999999999993,1
Central Finland wellbeing services county,2019,11.9,26918,23.2,26655.0,22.6,0.3000000000000007,0
Central Finland wellbeing services county,2020,12.0,26948,23.7,26918.0,23.2,0.09999999999999964,0
Central Finland wellbeing services county,2021,12.2,27206,24.1,26948.0,23.7,0.1999999999999993,0
Central Finland wellbeing services county,2022,12.4,26251,24.4,27206.0,24.1,0.20000000000000107,0
Central Finland wellbeing services county,2023,12.6,25917,24.6,26251.0,24.4,0.1999999999999993,0
Central Ostrobothnia wellbeing services county,2005,6.6,24016,16.3,,,,1
Central Ostrobothnia wellbeing services county,2006,6.9,24816,16.9,24016.0,16.3,0.3000000000000007,1
Central Ostrobothnia wellbeing services county,2007,7.1,25582,16.9,24816.0,16.9,0.1999999999999993,1
Central Ostrobothnia wellbeing services county,2008,7.5,25876,17.1,25582.0,16.9,0.40000000000000036,1
Central Ostrobothnia wellbeing services county,2009,7.7,26426,17.4,25876.0,17.1,0.20000000000000018,1
Central Ostrobothnia wellbeing services county,2010,8.3,27069,17.9,26426.0,17.4,0.6000000000000005,1
Central Ostrobothnia wellbeing services county,2011,9.0,27152,18.5,27069.0,17.9,0.6999999999999993,1
Central Ostrobothnia wellbeing services county,2012,9.4,27286,19.2,27152.0,18.5,0.40000000000000036,1
Central Ostrobothnia wellbeing services county,2013,9.7,27103,19.9,27286.0,19.2,0.29999999999999893,0
Central Ostrobothnia wellbeing services county,2014,10.0,27259,20.6,27103.0,19.9,0.3000000000000007,0
Central Ostrobothnia wellbeing services county,2015,10.2,27201,21.1,27259.0,20.6,0.1999999999999993,0
Central Ostrobothnia wellbeing services county,2016,10.3,27346,21.6,27201.0,21.1,0.10000000000000142,0
Central Ostrobothnia wellbeing services county,2017,10.4,27486,22.2,27346.0,21.6,0.09999999999999964,0
Central Ostrobothnia wellbeing services county,2018,10.8,27803,22.8,27486.0,22.2,0.40000000000000036,0
Central Ostrobothnia wellbeing services county,2019,11.2,28100,23.4,27803.0,22.8,0.3999999999999986,0
Central Ostrobothnia wellbeing services county,2020,11.4,28276,23.8,28100.0,23.4,0.20000000000000107,0
Central Ostrobothnia wellbeing services county,2021,11.9,28489,24.3,28276.0,23.8,0.5,0
Central Ostrobothnia wellbeing services county,2022,12.1,27492,24.7,28489.0,24.3,0.1999999999999993,0
Central Ostrobothnia wellbeing services county,2023,12.5,27214,24.7,27492.0,24.7,0.40000000000000036,0
Central Uusimaa wellbeing services county,2005,5.2,28612,11.3,,,,0
Central Uusimaa wellbeing services county,2006,5.3,29279,11.8,28612.0,11.3,0.09999999999999964,0
Central Uusimaa wellbeing services county,2007,5.5,30288,11.9,29279.0,11.8,0.20000000000000018,0
Central Uusimaa wellbeing services county,2008,5.9,30696,12.1,30288.0,11.9,0.40000000000000036,0
Central Uusimaa wellbeing services county,2009,6.3,31409,12.5,30696.0,12.1,0.39999999999999947,0
Central Uusimaa wellbeing services county,2010,6.8,31681,13.1,31409.0,12.5,0.5,0
Central Uusimaa wellbeing services county,2011,7.4,31740,13.9,31681.0,13.1,0.6000000000000005,0
Central Uusimaa wellbeing services county,2012,7.9,31879,14.5,31740.0,13.9,0.5,0
Central Uusimaa wellbeing services county,2013,8.5,31547,15.2,31879.0,14.5,0.5999999999999996,0
Central Uusimaa wellbeing services county,2014,9.1,31347,15.9,31547.0,15.2,0.5999999999999996,0
Central Uusimaa wellbeing services county,2015,9.5,31487,16.6,31347.0,15.9,0.40000000000000036,0
Central Uusimaa wellbeing services county,2016,10.0,31700,17.2,31487.0,16.6,0.5,0
Central Uusimaa wellbeing services county,2017,10.4,31980,17.7,31700.0,17.2,0.40000000000000036,0
Central Uusimaa wellbeing services county,2018,10.8,32162,18.3,31980.0,17.7,0.40000000000000036,0
Central Uusimaa wellbeing services county,2019,11.0,32625,18.9,32162.0,18.3,0.1999999999999993,0
Central Uusimaa wellbeing services county,2020,11.1,32537,19.3,32625.0,18.9,0.09999999999999964,0
Central Uusimaa wellbeing services county,2021,11.2,32655,19.7,32537.0,19.3,0.09999999999999964,0
Central Uusimaa wellbeing services county,2022,11.2,31649,20.0,32655.0,19.7,0.0,0
Central Uusimaa wellbeing services county,2023,11.4,31020,20.3,31649.0,20.0,0.20000000000000107,0
City of Helsinki,2005,4.4,27203,13.9,,,,0
City of Helsinki,2006,4.5,27818,14.2,27203.0,13.9,0.09999999999999964,0
City of Helsinki,2007,4.6,28667,14.2,27818.0,14.2,0.09999999999999964,0
City of Helsinki,2008,4.9,29127,14.3,28667.0,14.2,0.3000000000000007,0
City of Helsinki,2009,5.2,30138,14.5,29127.0,14.3,0.2999999999999998,0
City of Helsinki,2010,5.6,30557,15.0,30138.0,14.5,0.39999999999999947,0
City of Helsinki,2011,6.2,30199,15.4,30557.0,15.0,0.6000000000000005,0
City of Helsinki,2012,6.6,30341,15.8,30199.0,15.4,0.39999999999999947,0
City of Helsinki,2013,7.1,30196,16.1,30341.0,15.8,0.5,0
City of Helsinki,2014,7.4,30162,16.4,30196.0,16.1,0.3000000000000007,0
City of Helsinki,2015,7.7,30509,16.6,30162.0,16.4,0.2999999999999998,0
City of Helsinki,2016,8.0,30808,16.7,30509.0,16.6,0.2999999999999998,0
City of Helsinki,2017,8.2,31127,16.8,30808.0,16.7,0.1999999999999993,0
City of Helsinki,2018,8.3,31731,17.0,31127.0,16.8,0.10000000000000142,0
City of Helsinki,2019,8.5,32362,17.2,31731.0,17.0,0.1999999999999993,0
City of Helsinki,2020,8.5,32150,17.4,32362.0,17.2,0.0,0
City of Helsinki,2021,8.6,32407,17.6,32150.0,17.4,0.09999999999999964,0
City of Helsinki,2022,8.6,31320,17.6,32407.0,17.6,0.0,0
City of Helsinki,2023,8.6,30761,17.6,31320.0,17.6,0.0,0
East Uusimaa wellbeing services county,2005,4.7,27283,14.9,,,,0
East Uusimaa wellbeing services county,2006,5.0,28006,15.2,27283.0,14.9,0.2999999999999998,0
East Uusimaa wellbeing services county,2007,5.2,29016,15.3,28006.0,15.2,0.20000000000000018,0
East Uusimaa wellbeing services county,2008,5.6,29313,15.7,29016.0,15.3,0.39999999999999947,0
East Uusimaa wellbeing services county,2009,6.0,29958,16.1,29313.0,15.7,0.40000000000000036,0
East Uusimaa wellbeing services county,2010,6.6,30410,16.7,29958.0,16.1,0.5999999999999996,0
East Uusimaa wellbeing services county,2011,7.2,30473,17.5,30410.0,16.7,0.6000000000000005,0
East Uusimaa wellbeing services county,2012,7.7,30672,18.2,30473.0,17.5,0.5,0
East Uusimaa wellbeing services county,2013,8.3,30530,18.9,30672.0,18.2,0.6000000000000005,0
East Uusimaa wellbeing services county,2014,8.8,30477,19.4,30530.0,18.9,0.5,0
East Uusimaa wellbeing services county,2015,9.1,30675,20.0,30477.0,19.4,0.29999999999999893,0
East Uusimaa wellbeing services county,2016,9.5,30915,20.5,30675.0,20.0,0.40000000000000036,0
East Uusimaa wellbeing services county,2017,9.9,31240,21.1,30915.0,20.5,0.40000000000000036,0
East Uusimaa wellbeing services county,2018,10.3,31506,21.5,31240.0,21.1,0.40000000000000036,0
East Uusimaa wellbeing services county,2019,10.6,31964,22.0,31506.0,21.5,0.29999999999999893,0
East Uusimaa wellbeing services county,2020,10.6,31901,22.4,31964.0,22.0,0.0,0
East Uusimaa wellbeing services county,2021,10.7,32286,22.7,31901.0,22.4,0.09999999999999964,0
East Uusimaa wellbeing services county,2022,10.8,31331,23.2,32286.0,22.7,0.10000000000000142,0
East Uusimaa wellbeing services county,2023,10.9,30995,23.5,31331.0,23.2,0.09999999999999964,0
Kainuu wellbeing services county,2005,6.3,22065,19.0,,,,1
Kainuu wellbeing services county,2006,6.4,22484,19.7,22065.0,19.0,0.10000000000000053,1
Kainuu wellbeing services county,2007,6.7,23212,19.9,22484.0,19.7,0.2999999999999998,1
Kainuu wellbeing services county,2008,7.2,23803,20.2,23212.0,19.9,0.5,1
Kainuu wellbeing services county,2009,7.7,24562,20.4,23803.0,20.2,0.5,1
Kainuu wellbeing services county,2010,8.5,24895,21.0,24562.0,20.4,0.7999999999999998,1
Kainuu wellbeing services county,2011,9.5,25006,21.7,24895.0,21.0,1.0,1
Kainuu wellbeing services county,2012,10.1,25173,22.4,25006.0,21.7,0.5999999999999996,1
Kainuu wellbeing services county,2013,10.6,25122,23.4,25173.0,22.4,0.5,1
Kainuu wellbeing services county,2014,11.2,25245,24.1,25122.0,23.4,0.5999999999999996,1
Kainuu wellbeing services county,2015,11.6,25453,24.9,25245.0,24.1,0.40000000000000036,1
Kainuu wellbeing services county,2016,12.0,25877,25.7,25453.0,24.9,0.40000000000000036,1
Kainuu wellbeing services county,2017,12.1,26118,26.6,25877.0,25.7,0.09999999999999964,1
Kainuu wellbeing services county,2018,12.3,26477,27.5,26118.0,26.6,0.20000000000000107,1
Kainuu wellbeing services county,2019,12.6,26801,28.5,26477.0,27.5,0.29999999999999893,1
Kainuu wellbeing services county,2020,12.7,27082,29.2,26801.0,28.5,0.09999999999999964,1
Kainuu wellbeing services county,2021,12.6,27218,29.8,27082.0,29.2,-0.09999999999999964,1
Kainuu wellbeing services county,2022,12.7,26210,30.4,27218.0,29.8,0.09999999999999964,1
Kainuu wellbeing services county,2023,12.9,26069,30.7,26210.0,30.4,0.20000000000000107,1
Kanta-Häme wellbeing services county,2005,5.9,24973,17.8,,,,0
Kanta-Häme wellbeing services county,2006,6.0,25615,18.2,24973.0,17.8,0.09999999999999964,0
Kanta-Häme wellbeing services county,2007,6.2,26448,18.1,25615.0,18.2,0.20000000000000018,0
Kanta-Häme wellbeing services county,2008,6.5,26778,18.3,26448.0,18.1,0.2999999999999998,0
Kanta-Häme wellbeing services county,2009,7.0,27487,18.5,26778.0,18.3,0.5,0
Kanta-Häme wellbeing services county,2010,7.6,27702,19.0,27487.0,18.5,0.5999999999999996,0
Kanta-Häme wellbeing services county,2011,8.5,27697,19.7,27702.0,19.0,0.9000000000000004,0
Kanta-Häme wellbeing services county,2012,9.1,27868,20.5,27697.0,19.7,0.5999999999999996,0
Kanta-Häme wellbeing services county,2013,9.5,27761,21.1,27868.0,20.5,0.40000000000000036,0
Kanta-Häme wellbeing services county,2014,10.1,27639,21.8,27761.0,21.1,0.5999999999999996,0
Kanta-Häme wellbeing services county,2015,10.5,27726,22.5,27639.0,21.8,0.40000000000000036,0
Kanta-Häme wellbeing services county,2016,10.9,27952,23.2,27726.0,22.5,0.40000000000000036,0
Kanta-Häme wellbeing services county,2017,11.3,28109,23.9,27952.0,23.2,0.40000000000000036,0
Kanta-Häme wellbeing services county,2018,11.6,28362,24.6,28109.0,23.9,0.29999999999999893,1
Kanta-Häme wellbeing services county,2019,12.0,28651,25.3,28362.0,24.6,0.40000000000000036,1
Kanta-Häme wellbeing services county,2020,12.3,28782,25.8,28651.0,25.3,0.3000000000000007,1
Kanta-Häme wellbeing services county,2021,12.6,28994,26.4,28782.0,25.8,0.29999999999999893,1
Kanta-Häme wellbeing services county,2022,12.9,28080,26.9,28994.0,26.4,0.3000000000000007,1
Kanta-Häme wellbeing services county,2023,13.1,27840,27.1,28080.0,26.9,0.1999999999999993,1
Kymenlaakso wellbeing services county,2005,5.8,24431,19.0,,,,0
Kymenlaakso wellbeing services county,2006,6.1,24946,19.6,24431.0,19.0,0.2999999999999998,0
Kymenlaakso wellbeing services county,2007,6.3,25613,19.7,24946.0,19.6,0.20000000000000018,0
Kymenlaakso wellbeing services county,2008,6.8,25834,20.1,25613.0,19.7,0.5,0
Kymenlaakso wellbeing services county,2009,7.3,26505,20.4,25834.0,20.1,0.5,0
Kymenlaakso wellbeing services county,2010,7.9,26829,21.1,26505.0,20.4,0.6000000000000005,0
Kymenlaakso wellbeing services county,2011,8.8,26676,21.9,26829.0,21.1,0.9000000000000004,1
Kymenlaakso wellbeing services county,2012,9.3,26721,22.7,26676.0,21.9,0.5,0
Kymenlaakso wellbeing services county,2013,9.9,26636,23.5,26721.0,22.7,0.5999999999999996,1
Kymenlaakso wellbeing services county,2014,10.5,26643,24.4,26636.0,23.5,0.5999999999999996,1
Kymenlaakso wellbeing services county,2015,10.9,26836,25.1,26643.0,24.4,0.40000000000000036,1
Kymenlaakso wellbeing services county,2016,11.3,26912,25.7,26836.0,25.1,0.40000000000000036,1
Kymenlaakso wellbeing services county,2017,11.6,27011,26.6,26912.0,25.7,0.29999999999999893,1
Kymenlaakso wellbeing services county,2018,12.0,27318,27.3,27011.0,26.6,0.40000000000000036,1
Kymenlaakso wellbeing services county,2019,12.4,27617,28.0,27318.0,27.3,0.40000000000000036,1
Kymenlaakso wellbeing services county,2020,12.6,27744,28.6,27617.0,28.0,0.1999999999999993,1
Kymenlaakso wellbeing services county,2021,13.0,27851,29.2,27744.0,28.6,0.40000000000000036,1
Kymenlaakso wellbeing services county,2022,13.2,26923,29.7,27851.0,29.2,0.1999999999999993,1
Kymenlaakso wellbeing services county,2023,13.4,26705,30.0,26923.0,29.7,0.20000000000000107,1
Lapland wellbeing services county,2005,6.0,22940,17.2,,,,0
Lapland wellbeing services county,2006,6.2,23360,17.9,22940.0,17.2,0.20000000000000018,0
Lapland wellbeing services county,2007,6.3,23996,18.0,23360.0,17.9,0.09999999999999964,0
Lapland wellbeing services county,2008,6.8,24387,18.3,23996.0,18.0,0.5,0
Lapland wellbeing services county,2009,7.3,25099,18.5,24387.0,18.3,0.5,0
Lapland wellbeing services county,2010,7.9,25657,18.9,25099.0,18.5,0.6000000000000005,0
Lapland wellbeing services county,2011,8.8,25811,19.6,25657.0,18.9,0.9000000000000004,1
Lapland wellbeing services county,2012,9.4,26142,20.3,25811.0,19.6,0.5999999999999996,1
Lapland wellbeing services county,2013,9.9,26172,21.1,26142.0,20.3,0.5,1
Lapland wellbeing services county,2014,10.4,26195,21.9,26172.0,21.1,0.5,1
Lapland wellbeing services county,2015,10.9,26510,22.6,26195.0,21.9,0.5,1
Lapland wellbeing services county,2016,11.4,26768,23.2,26510.0,22.6,0.5,1
Lapland wellbeing services county,2017,11.6,27064,23.9,26768.0,23.2,0.1999999999999993,1
Lapland wellbeing services county,2018,11.8,27334,24.6,27064.0,23.9,0.20000000000000107,1
Lapland wellbeing services county,2019,12.2,27781,25.3,27334.0,24.6,0.3999999999999986,1
