indicator,region,year,gender,primary value,absolute value,id,title.fi,title.en,Information,Year,Region,value,hva_code,region_name
683,978,2015,total,9.6,24631,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA05 Southwest Finland wellbeing services county,27190,HVA05,Southwest Finland wellbeing services county
683,957,2015,total,9.9,7682,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA11 South Karelia wellbeing services county,26541,HVA11,South Karelia wellbeing services county
683,961,2015,total,9.1,4900,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA01 East Uusimaa wellbeing services county,30675,HVA01,East Uusimaa wellbeing services county
683,972,2015,total,11.9,11483,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA14 North Karelia wellbeing services county,24637,HVA14,North Karelia wellbeing services county
683,975,2015,total,9.5,11420,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA09 Päijät-Häme wellbeing services county,26080,HVA09,Päijät-Häme wellbeing services county
683,956,2015,total,4.9,791,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2015,HVA91 Åland,33076,HVA91,Åland
683,974,2015,total,11.5,16426,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA13 North Savo wellbeing services county,25934,HVA13,North Savo wellbeing services county
683,962,2015,total,11.6,5260,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA20 Kainuu wellbeing services county,25453,HVA20,Kainuu wellbeing services county
683,968,2015,total,10.9,11247,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA21 Lapland wellbeing services county,26510,HVA21,Lapland wellbeing services county
683,973,2015,total,10.4,20462,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA19 North Ostrobothnia wellbeing services county,26660,HVA19,North Ostrobothnia wellbeing services county
683,967,2015,total,10.9,11119,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA10 Kymenlaakso wellbeing services county,26836,HVA10,Kymenlaakso wellbeing services county
683,969,2015,total,8.1,18256,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA03 West Uusimaa wellbeing services county,32611,HVA03,West Uusimaa wellbeing services county
683,970,2015,total,10.7,28096,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA08 Pirkanmaa wellbeing services county,27066,HVA08,Pirkanmaa wellbeing services county
683,960,2015,total,7.7,22996,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2015,HVA90 City of Helsinki,30509,HVA90,City of Helsinki
683,966,2015,total,9.5,9522,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA02 Central Uusimaa wellbeing services county,31487,HVA02,Central Uusimaa wellbeing services county
683,963,2015,total,10.5,10339,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA07 Kanta-Häme wellbeing services county,27726,HVA07,Kanta-Häme wellbeing services county
683,971,2015,total,8.5,7725,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA17 Ostrobothnia wellbeing services county,28069,HVA17,Ostrobothnia wellbeing services county
683,959,2015,total,11.2,9838,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA12 South Savo wellbeing services county,25505,HVA12,South Savo wellbeing services county
683,965,2015,total,10.8,15639,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA15 Central Finland wellbeing services county,25954,HVA15,Central Finland wellbeing services county
683,977,2015,total,9.5,11355,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA04 Vantaa and Kerava wellbeing services county,30961,HVA04,Vantaa and Kerava wellbeing services county
683,964,2015,total,10.2,3619,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA18 Central Ostrobothnia wellbeing services county,27201,HVA18,Central Ostrobothnia wellbeing services county
683,976,2015,total,10.3,13261,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA06 Satakunta wellbeing services county,26703,HVA06,Satakunta wellbeing services county
683,958,2015,total,12.5,13583,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2015,HVA16 South Ostrobothnia wellbeing services county,26334,HVA16,South Ostrobothnia wellbeing services county
683,967,2016,total,11.3,11571,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA10 Kymenlaakso wellbeing services county,26912,HVA10,Kymenlaakso wellbeing services county
683,971,2016,total,8.8,8032,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA17 Ostrobothnia wellbeing services county,28215,HVA17,Ostrobothnia wellbeing services county
683,974,2016,total,11.9,17028,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA13 North Savo wellbeing services county,26199,HVA13,North Savo wellbeing services county
683,959,2016,total,11.6,10125,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA12 South Savo wellbeing services county,25716,HVA12,South Savo wellbeing services county
683,977,2016,total,9.9,12045,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA04 Vantaa and Kerava wellbeing services county,31042,HVA04,Vantaa and Kerava wellbeing services county
683,956,2016,total,5.0,810,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2016,HVA91 Åland,33307,HVA91,Åland
683,972,2016,total,12.3,11859,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA14 North Karelia wellbeing services county,24849,HVA14,North Karelia wellbeing services county
683,960,2016,total,8.0,24212,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2016,HVA90 City of Helsinki,30808,HVA90,City of Helsinki
683,966,2016,total,10.0,10107,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA02 Central Uusimaa wellbeing services county,31700,HVA02,Central Uusimaa wellbeing services county
683,978,2016,total,9.9,25441,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA05 Southwest Finland wellbeing services county,27435,HVA05,Southwest Finland wellbeing services county
683,973,2016,total,10.8,21344,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA19 North Ostrobothnia wellbeing services county,26881,HVA19,North Ostrobothnia wellbeing services county
683,961,2016,total,9.5,5148,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA01 East Uusimaa wellbeing services county,30915,HVA01,East Uusimaa wellbeing services county
683,976,2016,total,10.7,13814,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA06 Satakunta wellbeing services county,26792,HVA06,Satakunta wellbeing services county
683,958,2016,total,12.7,13846,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA16 South Ostrobothnia wellbeing services county,26596,HVA16,South Ostrobothnia wellbeing services county
683,965,2016,total,11.1,16149,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA15 Central Finland wellbeing services county,26259,HVA15,Central Finland wellbeing services county
683,962,2016,total,12.0,5392,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA20 Kainuu wellbeing services county,25877,HVA20,Kainuu wellbeing services county
683,968,2016,total,11.4,11721,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA21 Lapland wellbeing services county,26768,HVA21,Lapland wellbeing services county
