region_name,year,diabetes_rate,median_income,pct_65plus
Southwest Finland wellbeing services county,2015,9.6,27190,21.7
South Karelia wellbeing services county,2015,9.9,26541,25.0
East Uusimaa wellbeing services county,2015,9.1,30675,20.0
North Karelia wellbeing services county,2015,11.9,24637,23.7
Päijät-Häme wellbeing services county,2015,9.5,26080,24.1
Åland,2015,4.9,33076,20.8
North Savo wellbeing services county,2015,11.5,25934,22.7
Kainuu wellbeing services county,2015,11.6,25453,24.9
Lapland wellbeing services county,2015,10.9,26510,22.6
North Ostrobothnia wellbeing services county,2015,10.4,26660,17.4
Kymenlaakso wellbeing services county,2015,10.9,26836,25.1
West Uusimaa wellbeing services county,2015,8.1,32611,16.3
Pirkanmaa wellbeing services county,2015,10.7,27066,20.3
City of Helsinki,2015,7.7,30509,16.6
Central Uusimaa wellbeing services county,2015,9.5,31487,16.6
Kanta-Häme wellbeing services county,2015,10.5,27726,22.5
Ostrobothnia wellbeing services county,2015,8.5,28069,21.4
South Savo wellbeing services county,2015,11.2,25505,27.4
Central Finland wellbeing services county,2015,10.8,25954,21.2
Vantaa and Kerava wellbeing services county,2015,9.5,30961,15.2
Central Ostrobothnia wellbeing services county,2015,10.2,27201,21.1
Satakunta wellbeing services county,2015,10.3,26703,24.8
South Ostrobothnia wellbeing services county,2015,12.5,26334,22.9
Kymenlaakso wellbeing services county,2016,11.3,26912,25.7
Ostrobothnia wellbeing services county,2016,8.8,28215,21.8
North Savo wellbeing services county,2016,11.9,26199,23.3
South Savo wellbeing services county,2016,11.6,25716,28.1
Vantaa and Kerava wellbeing services county,2016,9.9,31042,15.4
Åland,2016,5.0,33307,21.1
North Karelia wellbeing services county,2016,12.3,24849,24.3
City of Helsinki,2016,8.0,30808,16.7
Central Uusimaa wellbeing services county,2016,10.0,31700,17.2
Southwest Finland wellbeing services county,2016,9.9,27435,22.1
North Ostrobothnia wellbeing services county,2016,10.8,26881,18.0
East Uusimaa wellbeing services county,2016,9.5,30915,20.5
Satakunta wellbeing services county,2016,10.7,26792,25.3
South Ostrobothnia wellbeing services county,2016,12.7,26596,23.5
Central Finland wellbeing services county,2016,11.1,26259,21.6
Kainuu wellbeing services county,2016,12.0,25877,25.7
Lapland wellbeing services county,2016,11.4,26768,23.2
Kanta-Häme wellbeing services county,2016,10.9,27952,23.2
South Karelia wellbeing services county,2016,10.2,26566,25.5
Päijät-Häme wellbeing services county,2016,9.7,26317,24.7
West Uusimaa wellbeing services county,2016,8.5,32809,16.6
Pirkanmaa wellbeing services county,2016,11.0,27238,20.7
Central Ostrobothnia wellbeing services county,2016,10.3,27346,21.6
South Savo wellbeing services county,2017,11.9,25829,29.0
North Savo wellbeing services county,2017,12.3,26412,24.0
City of Helsinki,2017,8.2,31127,16.8
Vantaa and Kerava wellbeing services county,2017,10.2,31100,15.7
Åland,2017,5.2,33787,21.7
Kymenlaakso wellbeing services county,2017,11.6,27011,26.6
Ostrobothnia wellbeing services county,2017,8.9,28362,22.2
Southwest Finland wellbeing services county,2017,10.1,27791,22.5
East Uusimaa wellbeing services county,2017,9.9,31240,21.1
North Ostrobothnia wellbeing services county,2017,11.1,27196,18.6
North Karelia wellbeing services county,2017,12.7,24989,25.1
Central Uusimaa wellbeing services county,2017,10.4,31980,17.7
Central Finland wellbeing services county,2017,11.4,26455,22.2
Lapland wellbeing services county,2017,11.6,27064,23.9
Satakunta wellbeing services county,2017,10.9,27219,26.0
Kainuu wellbeing services county,2017,12.1,26118,26.6
South Ostrobothnia wellbeing services county,2017,12.9,26792,24.1
Pirkanmaa wellbeing services county,2017,11.2,27490,21.1
West Uusimaa wellbeing services county,2017,8.9,33030,17.1
Central Ostrobothnia wellbeing services county,2017,10.4,27486,22.2
Kanta-Häme wellbeing services county,2017,11.3,28109,23.9
South Karelia wellbeing services county,2017,10.6,26637,26.1
Päijät-Häme wellbeing services county,2017,9.9,26422,25.4
Kanta-Häme wellbeing services county,2018,11.6,28362,24.6
Central Uusimaa wellbeing services county,2018,10.8,32162,18.3
West Uusimaa wellbeing services county,2018,9.1,33277,17.4
Pirkanmaa wellbeing services county,2018,11.4,27790,21.4
North Ostrobothnia wellbeing services county,2018,11.3,27441,19.1
Satakunta wellbeing services county,2018,11.2,27542,26.6
South Ostrobothnia wellbeing services county,2018,13.0,27052,24.7
Ostrobothnia wellbeing services county,2018,9.2,28611,22.6
South Savo wellbeing services county,2018,12.3,26199,29.9
Central Finland wellbeing services county,2018,11.6,26655,22.6
Vantaa and Kerava wellbeing services county,2018,10.5,31317,15.8
City of Helsinki,2018,8.3,31731,17.0
South Karelia wellbeing services county,2018,10.8,26868,26.8
North Karelia wellbeing services county,2018,13.1,25290,25.8
Päijät-Häme wellbeing services county,2018,10.1,26640,26.0
East Uusimaa wellbeing services county,2018,10.3,31506,21.5
Southwest Finland wellbeing services county,2018,10.5,28054,22.9
Central Ostrobothnia wellbeing services county,2018,10.8,27803,22.8
Kymenlaakso wellbeing services county,2018,12.0,27318,27.3
Kainuu wellbeing services county,2018,12.3,26477,27.5
North Savo wellbeing services county,2018,12.8,26743,24.6
Åland,2018,5.4,33716,22.2
Lapland wellbeing services county,2018,11.8,27334,24.6
Central Uusimaa wellbeing services county,2019,11.0,32625,18.9
West Uusimaa wellbeing services county,2019,9.3,33700,17.7
Vantaa and Kerava wellbeing services county,2019,10.6,31610,16.0
North Savo wellbeing services county,2019,13.3,27087,25.3
Ostrobothnia wellbeing services county,2019,9.5,28909,23.0
South Ostrobothnia wellbeing services county,2019,13.2,27392,25.4
Satakunta wellbeing services county,2019,11.3,27717,27.2
Kainuu wellbeing services county,2019,12.6,26801,28.5
Åland,2019,5.8,34238,22.7
Lapland wellbeing services county,2019,12.2,27781,25.3
Pirkanmaa wellbeing services county,2019,11.6,28156,21.8
Päijät-Häme wellbeing services county,2019,10.4,27357,26.7
Kanta-Häme wellbeing services county,2019,12.0,28651,25.3
South Karelia wellbeing services county,2019,11.1,27054,27.4
North Karelia wellbeing services county,2019,13.4,25438,26.5
East Uusimaa wellbeing services county,2019,10.6,31964,22.0
Central Ostrobothnia wellbeing services county,2019,11.2,28100,23.4
Kymenlaakso wellbeing services county,2019,12.4,27617,28.0
North Ostrobothnia wellbeing services county,2019,11.5,27772,19.6
Central Finland wellbeing services county,2019,11.9,26918,23.2
City of Helsinki,2019,8.5,32362,17.2
South Savo wellbeing services county,2019,12.8,26417,30.9
Southwest Finland wellbeing services county,2019,10.8,28440,23.3
Pirkanmaa wellbeing services county,2020,11.8,28182,22.1
South Ostrobothnia wellbeing services county,2020,13.3,27620,26.0
Central Uusimaa wellbeing services county,2020,11.1,32537,19.3
Satakunta wellbeing services county,2020,11.5,27778,27.7
West Uusimaa wellbeing services county,2020,9.3,33688,18.0
North Ostrobothnia wellbeing services county,2020,11.7,27967,20.2
Lapland wellbeing services county,2020,12.4,27907,26.0
North Savo wellbeing services county,2020,13.7,27196,25.9
Kanta-Häme wellbeing services county,2020,12.3,28782,25.8
Kainuu wellbeing services county,2020,12.7,27082,29.2
Åland,2020,6.1,33905,23.0
Central Ostrobothnia wellbeing services county,2020,11.4,28276,23.8
Southwest Finland wellbeing services county,2020,11.1,28457,23.7
Kymenlaakso wellbeing services county,2020,12.6,27744,28.6
Päijät-Häme wellbeing services county,2020,10.8,27301,27.3
South Karelia wellbeing services county,2020,11.1,27249,28.0
East Uusimaa wellbeing services county,2020,10.6,31901,22.4
South Savo wellbeing services county,2020,13.1,26373,31.7
City of Helsinki,2020,8.5,32150,17.4
Ostrobothnia wellbeing services county,2020,9.7,28938,23.4
North Karelia wellbeing services county,2020,13.8,25616,27.3
Central Finland wellbeing services county,2020,12.0,26948,23.7
Vantaa and Kerava wellbeing services county,2020,10.5,31277,16.1
Kainuu wellbeing services county,2021,12.6,27218,29.8
Satakunta wellbeing services county,2021,11.7,27907,28.1
Central Finland wellbeing services county,2021,12.2,27206,24.1
Lapland wellbeing services county,2021,12.6,27992,26.6
North Ostrobothnia wellbeing services county,2021,11.8,28129,20.5
Pirkanmaa wellbeing services county,2021,12.2,28411,22.3
Päijät-Häme wellbeing services county,2021,11.1,27459,27.7
Central Uusimaa wellbeing services county,2021,11.2,32655,19.7
East Uusimaa wellbeing services county,2021,10.7,32286,22.7
Kymenlaakso wellbeing services county,2021,13.0,27851,29.2
North Savo wellbeing services county,2021,14.1,27443,26.4
South Savo wellbeing services county,2021,13.4,26620,32.5
Åland,2021,6.4,33840,23.4
City of Helsinki,2021,8.6,32407,17.6
Kanta-Häme wellbeing services county,2021,12.6,28994,26.4
Southwest Finland wellbeing services county,2021,11.2,28683,24.0
South Karelia wellbeing services county,2021,11.3,27352,28.5
West Uusimaa wellbeing services county,2021,9.4,33917,18.3
North Karelia wellbeing services county,2021,14.0,25825,27.9
Vantaa and Kerava wellbeing services county,2021,10.6,31260,16.3
Central Ostrobothnia wellbeing services county,2021,11.9,28489,24.3
South Ostrobothnia wellbeing services county,2021,13.5,27922,26.6
Ostrobothnia wellbeing services county,2021,9.9,29119,23.6
South Karelia wellbeing services county,2022,11.5,26428,28.9
Kainuu wellbeing services county,2022,12.7,26210,30.4
Päijät-Häme wellbeing services county,2022,11.5,26606,28.1
Central Finland wellbeing services county,2022,12.4,26251,24.4
North Karelia wellbeing services county,2022,14.3,24957,28.4
Lapland wellbeing services county,2022,12.8,27297,27.1
North Ostrobothnia wellbeing services county,2022,12.0,27251,20.9
Kymenlaakso wellbeing services county,2022,13.2,26923,29.7
Southwest Finland wellbeing services county,2022,11.3,27790,24.1
East Uusimaa wellbeing services county,2022,10.8,31331,23.2
Vantaa and Kerava wellbeing services county,2022,10.7,30213,16.4
City of Helsinki,2022,8.6,31320,17.6
North Savo wellbeing services county,2022,14.4,26542,26.8
Kanta-Häme wellbeing services county,2022,12.9,28080,26.9
Central Uusimaa wellbeing services county,2022,11.2,31649,20.0
Ostrobothnia wellbeing services county,2022,10.1,28155,23.7
Åland,2022,6.5,32534,23.8
South Savo wellbeing services county,2022,13.6,25885,33.0
South Ostrobothnia wellbeing services county,2022,13.6,27071,26.8
Pirkanmaa wellbeing services county,2022,12.4,27611,22.4
West Uusimaa wellbeing services county,2022,9.5,32745,18.4
Satakunta wellbeing services county,2022,11.9,27034,28.5
Central Ostrobothnia wellbeing services county,2022,12.1,27492,24.7
Päijät-Häme wellbeing services county,2023,12.1,26124,28.3
East Uusimaa wellbeing services county,2023,10.9,30995,23.5
North Karelia wellbeing services county,2023,14.6,24852,28.8
Central Ostrobothnia wellbeing services county,2023,12.5,27214,24.7
Kymenlaakso wellbeing services county,2023,13.4,26705,30.0
Central Finland wellbeing services county,2023,12.6,25917,24.6
South Savo wellbeing services county,2023,13.8,25903,33.4
City of Helsinki,2023,8.6,30761,17.6
North Ostrobothnia wellbeing services county,2023,12.2,26856,21.2
Central Uusimaa wellbeing services county,2023,11.4,31020,20.3
Southwest Finland wellbeing services county,2023,11.5,27391,24.1
West Uusimaa wellbeing services county,2023,9.5,32214,18.4
South Ostrobothnia wellbeing services county,2023,13.8,26704,27.0
Vantaa and Kerava wellbeing services county,2023,10.7,29560,16.3
North Savo wellbeing services county,2023,14.7,26256,27.1
