indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,962,2005,total,6.3,2922,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,965,2005,total,6.3,8625,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,972,2005,total,7.0,6731,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,968,2005,total,6.0,6093,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,975,2005,total,5.6,6392,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,969,2005,total,4.3,8095,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,963,2005,total,5.9,5368,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,957,2005,total,6.1,4683,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,958,2005,total,7.1,7572,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,970,2005,total,5.8,13998,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,976,2005,total,5.7,7318,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,964,2005,total,6.6,2260,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,971,2005,total,5.1,4417,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,956,2005,total,3.3,467,956,Ahvenanmaa,Åland
683,974,2005,total,6.4,8947,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,977,2005,total,5.0,4998,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,960,2005,total,4.4,11925,960,Helsingin kaupunki,City of Helsinki
683,959,2005,total,6.6,5871,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,978,2005,total,5.2,12231,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,966,2005,total,5.2,4326,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,973,2005,total,6.2,11025,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,967,2005,total,5.8,5880,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,961,2005,total,4.7,2289,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,968,2006,total,6.2,6316,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,972,2006,total,7.1,6857,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,965,2006,total,6.5,9041,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,962,2006,total,6.4,2967,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,958,2006,total,7.3,7792,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,964,2006,total,6.9,2372,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,976,2006,total,6.0,7661,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,969,2006,total,4.5,8624,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,975,2006,total,5.9,6717,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2006,total,6.2,4794,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,970,2006,total,6.0,14491,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,963,2006,total,6.0,5503,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,977,2006,total,5.2,5328,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,959,2006,total,6.7,6024,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,960,2006,total,4.5,12323,960,Helsingin kaupunki,City of Helsinki
683,971,2006,total,5.3,4609,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,956,2006,total,3.4,491,956,Ahvenanmaa,Åland
683,974,2006,total,6.6,9278,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,973,2006,total,6.4,11398,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,967,2006,total,6.1,6193,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,961,2006,total,5.0,2436,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,966,2006,total,5.3,4559,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,978,2006,total,5.4,12856,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,961,2007,total,5.2,2603,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,975,2007,total,6.1,7054,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,978,2007,total,5.5,13429,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,957,2007,total,6.4,4895,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,967,2007,total,6.3,6429,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,964,2007,total,7.1,2466,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,956,2007,total,3.7,534,956,Ahvenanmaa,Åland
683,962,2007,total,6.7,3116,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,974,2007,total,6.9,9704,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,963,2007,total,6.2,5756,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,968,2007,total,6.3,6521,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,969,2007,total,4.6,9082,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,970,2007,total,6.1,15100,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,966,2007,total,5.5,4807,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,958,2007,total,7.5,8125,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,973,2007,total,6.5,11810,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,976,2007,total,6.3,8060,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,965,2007,total,6.8,9433,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,971,2007,total,5.5,4781,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,977,2007,total,5.4,5688,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,960,2007,total,4.6,12784,960,Helsingin kaupunki,City of Helsinki
683,972,2007,total,7.3,7061,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,959,2007,total,6.9,6196,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,967,2008,total,6.8,6931,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
